id,row,col,time, time_delta(s) 
64,99,51,2022-01-30 16:19:57,4797
64,96,52,2022-01-30 16:19:58,4798
64,93,52,2022-01-30 16:19:59,4799
64,90,52,2022-01-30 16:20:00,4800
64,87,52,2022-01-30 16:20:01,4801
64,84,52,2022-01-30 16:20:02,4802
64,81,52,2022-01-30 16:20:03,4803
64,78,52,2022-01-30 16:20:04,4804
64,75,52,2022-01-30 16:20:05,4805
64,72,52,2022-01-30 16:20:06,4806
64,69,52,2022-01-30 16:20:07,4807
64,69,52,2022-01-30 16:20:08,4808
64,69,52,2022-01-30 16:20:09,4809
64,69,52,2022-01-30 16:20:10,4810
64,69,52,2022-01-30 16:20:11,4811
64,69,52,2022-01-30 16:20:12,4812
64,69,52,2022-01-30 16:20:13,4813
64,69,52,2022-01-30 16:20:14,4814
64,69,52,2022-01-30 16:20:15,4815
64,69,52,2022-01-30 16:20:16,4816
64,69,52,2022-01-30 16:20:17,4817
64,69,52,2022-01-30 16:20:18,4818
64,69,52,2022-01-30 16:20:19,4819
64,69,52,2022-01-30 16:20:20,4820
64,69,52,2022-01-30 16:20:21,4821
64,69,52,2022-01-30 16:20:22,4822
64,69,52,2022-01-30 16:20:23,4823
64,69,52,2022-01-30 16:20:24,4824
64,69,52,2022-01-30 16:20:25,4825
64,69,52,2022-01-30 16:20:26,4826
64,69,52,2022-01-30 16:20:27,4827
64,69,52,2022-01-30 16:20:28,4828
64,69,52,2022-01-30 16:20:29,4829
64,69,52,2022-01-30 16:20:30,4830
64,69,52,2022-01-30 16:20:31,4831
64,69,52,2022-01-30 16:20:32,4832
64,69,52,2022-01-30 16:20:33,4833
64,69,52,2022-01-30 16:20:34,4834
64,69,52,2022-01-30 16:20:35,4835
64,69,52,2022-01-30 16:20:36,4836
64,69,52,2022-01-30 16:20:37,4837
64,69,52,2022-01-30 16:20:38,4838
64,69,52,2022-01-30 16:20:39,4839
64,69,52,2022-01-30 16:20:40,4840
64,69,52,2022-01-30 16:20:41,4841
64,69,52,2022-01-30 16:20:42,4842
64,69,52,2022-01-30 16:20:43,4843
64,69,52,2022-01-30 16:20:44,4844
64,69,52,2022-01-30 16:20:45,4845
64,69,52,2022-01-30 16:20:46,4846
64,69,52,2022-01-30 16:20:47,4847
64,69,52,2022-01-30 16:20:48,4848
64,69,52,2022-01-30 16:20:49,4849
64,69,52,2022-01-30 16:20:50,4850
64,69,52,2022-01-30 16:20:51,4851
64,69,52,2022-01-30 16:20:52,4852
64,69,52,2022-01-30 16:20:53,4853
64,69,52,2022-01-30 16:20:54,4854
64,69,52,2022-01-30 16:20:55,4855
64,69,52,2022-01-30 16:20:56,4856
64,69,52,2022-01-30 16:20:57,4857
64,69,52,2022-01-30 16:20:58,4858
64,69,52,2022-01-30 16:20:59,4859
64,69,52,2022-01-30 16:21:00,4860
64,69,52,2022-01-30 16:21:01,4861
64,69,52,2022-01-30 16:21:02,4862
64,69,52,2022-01-30 16:21:03,4863
64,69,52,2022-01-30 16:21:04,4864
64,69,52,2022-01-30 16:21:05,4865
64,69,52,2022-01-30 16:21:06,4866
64,69,52,2022-01-30 16:21:07,4867
64,69,52,2022-01-30 16:21:08,4868
64,69,52,2022-01-30 16:21:09,4869
64,69,52,2022-01-30 16:21:10,4870
64,69,52,2022-01-30 16:21:11,4871
64,69,52,2022-01-30 16:21:12,4872
64,69,52,2022-01-30 16:21:13,4873
64,69,52,2022-01-30 16:21:14,4874
64,69,52,2022-01-30 16:21:15,4875
64,69,52,2022-01-30 16:21:16,4876
64,69,52,2022-01-30 16:21:17,4877
64,69,52,2022-01-30 16:21:18,4878
64,69,52,2022-01-30 16:21:19,4879
64,69,52,2022-01-30 16:21:20,4880
64,69,52,2022-01-30 16:21:21,4881
64,69,52,2022-01-30 16:21:22,4882
64,69,52,2022-01-30 16:21:23,4883
64,69,52,2022-01-30 16:21:24,4884
64,69,52,2022-01-30 16:21:25,4885
64,69,52,2022-01-30 16:21:26,4886
64,69,52,2022-01-30 16:21:27,4887
64,69,52,2022-01-30 16:21:28,4888
64,69,52,2022-01-30 16:21:29,4889
64,69,52,2022-01-30 16:21:30,4890
64,69,52,2022-01-30 16:21:31,4891
64,69,52,2022-01-30 16:21:32,4892
64,69,52,2022-01-30 16:21:33,4893
64,69,52,2022-01-30 16:21:34,4894
64,69,52,2022-01-30 16:21:35,4895
64,69,52,2022-01-30 16:21:36,4896
64,69,52,2022-01-30 16:21:37,4897
64,69,52,2022-01-30 16:21:38,4898
64,69,52,2022-01-30 16:21:39,4899
64,69,52,2022-01-30 16:21:40,4900
64,69,52,2022-01-30 16:21:41,4901
64,69,52,2022-01-30 16:21:42,4902
64,69,52,2022-01-30 16:21:43,4903
64,69,52,2022-01-30 16:21:44,4904
64,69,52,2022-01-30 16:21:45,4905
64,69,52,2022-01-30 16:21:46,4906
64,69,52,2022-01-30 16:21:47,4907
64,69,52,2022-01-30 16:21:48,4908
64,69,52,2022-01-30 16:21:49,4909
64,69,52,2022-01-30 16:21:50,4910
64,69,52,2022-01-30 16:21:51,4911
64,69,52,2022-01-30 16:21:52,4912
64,69,52,2022-01-30 16:21:53,4913
64,69,52,2022-01-30 16:21:54,4914
64,69,52,2022-01-30 16:21:55,4915
64,69,52,2022-01-30 16:21:56,4916
64,69,52,2022-01-30 16:21:57,4917
64,69,52,2022-01-30 16:21:58,4918
64,69,52,2022-01-30 16:21:59,4919
64,69,52,2022-01-30 16:22:00,4920
64,69,52,2022-01-30 16:22:01,4921
64,69,52,2022-01-30 16:22:02,4922
64,69,52,2022-01-30 16:22:03,4923
64,69,52,2022-01-30 16:22:04,4924
64,69,52,2022-01-30 16:22:05,4925
64,69,52,2022-01-30 16:22:06,4926
64,69,52,2022-01-30 16:22:07,4927
64,99,51,2022-01-30 16:22:08,4928
64,96,52,2022-01-30 16:22:09,4929
64,93,52,2022-01-30 16:22:10,4930
64,90,52,2022-01-30 16:22:11,4931
64,87,52,2022-01-30 16:22:12,4932
64,84,52,2022-01-30 16:22:13,4933
64,81,52,2022-01-30 16:22:14,4934
64,78,52,2022-01-30 16:22:15,4935
64,75,52,2022-01-30 16:22:16,4936
64,72,52,2022-01-30 16:22:17,4937
64,69,52,2022-01-30 16:22:18,4938
64,69,52,2022-01-30 16:22:19,4939
64,69,52,2022-01-30 16:22:20,4940
64,69,52,2022-01-30 16:22:21,4941
64,69,52,2022-01-30 16:22:22,4942
64,69,52,2022-01-30 16:22:23,4943
64,69,52,2022-01-30 16:22:24,4944
64,69,52,2022-01-30 16:22:25,4945
64,69,52,2022-01-30 16:22:26,4946
64,69,52,2022-01-30 16:22:27,4947
64,69,52,2022-01-30 16:22:28,4948
64,69,52,2022-01-30 16:22:29,4949
64,69,52,2022-01-30 16:22:30,4950
64,69,52,2022-01-30 16:22:31,4951
64,69,52,2022-01-30 16:22:32,4952
64,69,52,2022-01-30 16:22:33,4953
64,69,52,2022-01-30 16:22:34,4954
64,69,52,2022-01-30 16:22:35,4955
64,69,52,2022-01-30 16:22:36,4956
64,69,52,2022-01-30 16:22:37,4957
64,69,52,2022-01-30 16:22:38,4958
64,69,52,2022-01-30 16:22:39,4959
64,69,52,2022-01-30 16:22:40,4960
64,69,52,2022-01-30 16:22:41,4961
64,69,52,2022-01-30 16:22:42,4962
64,69,52,2022-01-30 16:22:43,4963
64,69,52,2022-01-30 16:22:44,4964
64,69,52,2022-01-30 16:22:45,4965
64,69,52,2022-01-30 16:22:46,4966
64,69,52,2022-01-30 16:22:47,4967
64,69,52,2022-01-30 16:22:48,4968
64,69,52,2022-01-30 16:22:49,4969
64,69,52,2022-01-30 16:22:50,4970
64,69,52,2022-01-30 16:22:51,4971
64,69,52,2022-01-30 16:22:52,4972
64,69,52,2022-01-30 16:22:53,4973
64,69,52,2022-01-30 16:22:54,4974
64,69,52,2022-01-30 16:22:55,4975
64,69,52,2022-01-30 16:22:56,4976
64,69,52,2022-01-30 16:22:57,4977
64,69,52,2022-01-30 16:22:58,4978
64,69,52,2022-01-30 16:22:59,4979
64,69,52,2022-01-30 16:23:00,4980
64,69,52,2022-01-30 16:23:01,4981
64,69,52,2022-01-30 16:23:02,4982
64,69,52,2022-01-30 16:23:03,4983
64,69,52,2022-01-30 16:23:04,4984
64,69,52,2022-01-30 16:23:05,4985
64,69,52,2022-01-30 16:23:06,4986
64,69,52,2022-01-30 16:23:07,4987
64,69,52,2022-01-30 16:23:08,4988
64,69,52,2022-01-30 16:23:09,4989
64,69,52,2022-01-30 16:23:10,4990
64,69,52,2022-01-30 16:23:11,4991
64,69,52,2022-01-30 16:23:12,4992
64,69,52,2022-01-30 16:23:13,4993
64,69,52,2022-01-30 16:23:14,4994
64,69,52,2022-01-30 16:23:15,4995
64,69,52,2022-01-30 16:23:16,4996
64,69,52,2022-01-30 16:23:17,4997
64,69,52,2022-01-30 16:23:18,4998
64,69,52,2022-01-30 16:23:19,4999
64,69,52,2022-01-30 16:23:20,5000
64,69,52,2022-01-30 16:23:21,5001
64,69,52,2022-01-30 16:23:22,5002
64,69,52,2022-01-30 16:23:23,5003
64,69,52,2022-01-30 16:23:24,5004
64,69,52,2022-01-30 16:23:25,5005
64,69,52,2022-01-30 16:23:26,5006
64,69,52,2022-01-30 16:23:27,5007
64,69,52,2022-01-30 16:23:28,5008
64,69,52,2022-01-30 16:23:29,5009
64,69,52,2022-01-30 16:23:30,5010
64,69,52,2022-01-30 16:23:31,5011
64,69,52,2022-01-30 16:23:32,5012
64,69,52,2022-01-30 16:23:33,5013
64,69,52,2022-01-30 16:23:34,5014
64,69,52,2022-01-30 16:23:35,5015
64,69,52,2022-01-30 16:23:36,5016
64,69,52,2022-01-30 16:23:37,5017
64,69,52,2022-01-30 16:23:38,5018
64,69,52,2022-01-30 16:23:39,5019
64,69,52,2022-01-30 16:23:40,5020
64,69,52,2022-01-30 16:23:41,5021
64,69,52,2022-01-30 16:23:42,5022
64,69,52,2022-01-30 16:23:43,5023
64,69,52,2022-01-30 16:23:44,5024
64,69,52,2022-01-30 16:23:45,5025
64,69,52,2022-01-30 16:23:46,5026
64,69,52,2022-01-30 16:23:47,5027
64,69,52,2022-01-30 16:23:48,5028
64,69,52,2022-01-30 16:23:49,5029
